0.109,0.1088,0.1085,0.1083,0.1075,0.1063,0.1049,0.1026,0.0988,0.0941,0.0882,0.0823,0.0755,0.0678,0.0592,0.0495,0.0387,0.0269,0.014,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1186,0.1181,0.1177,0.1174,0.1166,0.1154,0.1142,0.1122,0.1089,0.1045,0.0989,0.0933,0.0868,0.0795,0.0712,0.0614,0.0505,0.0391,0.0271,0.0141,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1285,0.1278,0.1272,0.1267,0.1259,0.1247,0.1236,0.1219,0.119,0.1148,0.1095,0.1042,0.0981,0.0912,0.0832,0.0735,0.0625,0.051,0.039,0.0265,0.0135,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1389,0.1378,0.137,0.1363,0.1353,0.1341,0.133,0.1315,0.1289,0.1251,0.1201,0.1151,0.1094,0.1027,0.095,0.0856,0.075,0.0637,0.0518,0.0395,0.0268,0.0136,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1498,0.1484,0.1473,0.1462,0.145,0.1437,0.1426,0.1411,0.1388,0.1354,0.1308,0.1261,0.1207,0.1143,0.1067,0.098,0.0881,0.0772,0.0656,0.0534,0.0408,0.0277,0.0141,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1624,0.1605,0.1589,0.1574,0.1558,0.1543,0.1529,0.1514,0.1492,0.1461,0.1419,0.1377,0.1326,0.1264,0.1191,0.111,0.1018,0.0915,0.0802,0.0682,0.0558,0.0428,0.0292,0.0151,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1768,0.1743,0.1721,0.17,0.1679,0.1659,0.1642,0.1624,0.1602,0.1573,0.1537,0.1499,0.1452,0.1393,0.1323,0.1247,0.1162,0.1065,0.0956,0.0839,0.0713,0.0578,0.0438,0.0296,0.015,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1931,0.1899,0.1869,0.184,0.1812,0.1786,0.1763,0.1741,0.1717,0.1691,0.1661,0.1628,0.1584,0.1528,0.1462,0.1391,0.1312,0.122,0.1117,0.1012,0.0903,0.0781,0.0649,0.0512,0.0365,0.0195,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2112,0.2071,0.2032,0.1995,0.1958,0.1923,0.1893,0.1866,0.1838,0.1815,0.1791,0.1763,0.1724,0.1671,0.1609,0.1541,0.1468,0.1383,0.1288,0.1191,0.109,0.0978,0.0855,0.072,0.0571,0.0402,0.0212,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2308,0.2257,0.2208,0.2161,0.2114,0.207,0.2032,0.1997,0.1965,0.1943,0.1926,0.1902,0.1868,0.182,0.1761,0.1698,0.1629,0.1552,0.1466,0.1374,0.1275,0.1168,0.1054,0.0923,0.0773,0.0606,0.0423,0.0221,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
